group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.05,8,8,9,-11.297221183776855
C_imp_asc,0.05,8,8,10,-12.484227180480957
C_imp_asc,0.05,8,8,11,-8.296043395996094
C_imp_asc,0.05,8,8,12,-7.318933486938477
C_imp_asc,0.05,8,8,13,-11.741663932800293
C_imp_asc,0.05,8,8,14,-7.500722885131836
C_imp_asc,0.05,8,8,15,-11.044809341430664
C_imp_asc,0.05,8,8,16,-6.894257545471191
C_imp_asc,0.05,8,8,17,-8.788240432739258
C_imp_asc,0.05,8,8,18,-6.067717552185059
C_imp_asc,0.05,8,8,19,-6.99642276763916
C_imp_asc,0.05,8,8,20,-7.347336769104004
C_imp_asc,0.05,8,8,21,-11.795489311218262
C_imp_asc,0.05,8,8,22,-7.021411895751953
C_imp_asc,0.05,8,8,23,-8.598771095275879
C_imp_asc,0.05,8,8,24,-9.519867897033691
C_imp_asc,0.05,8,8,25,-10.309422492980957
C_imp_asc,0.05,8,8,26,-12.885782241821289
C_imp_asc,0.05,8,8,27,-4.934026718139648
C_imp_asc,0.05,8,8,28,-12.983208656311035
C_imp_asc,0.05,8,8,29,-7.40224552154541
C_imp_asc,0.05,8,8,30,-9.579862594604492
C_imp_asc,0.05,8,8,31,-6.437712669372559
C_imp_asc,0.05,8,8,32,-15.972085952758789
C_imp_asc,0.05,8,8,33,-10.430848121643066
C_imp_asc,0.05,8,8,34,-10.722121238708496
C_imp_asc,0.05,8,8,35,-9.092093467712402
C_imp_asc,0.05,8,8,36,-11.106815338134766
C_imp_asc,0.05,8,8,37,-7.999467849731445
C_imp_asc,0.05,8,8,38,-7.8766632080078125
C_imp_asc,0.05,8,8,39,-8.909340858459473
C_imp_asc,0.05,8,8,40,-8.348012924194336
C_imp_asc,0.05,8,8,41,-6.078454971313477
C_imp_asc,0.05,8,8,42,-9.375036239624023
C_imp_asc,0.05,8,8,43,-6.78341007232666
C_imp_asc,0.05,8,8,44,-11.844157218933105
C_imp_asc,0.05,8,8,45,-10.572685241699219
C_imp_asc,0.05,8,8,46,-7.552655220031738
C_imp_asc,0.05,8,8,47,-8.742913246154785
C_imp_asc,0.05,8,8,48,-11.92341423034668
C_imp_asc,0.05,8,8,49,-10.106053352355957
