model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
qwen-2.5-14b-instruct,diag,diag_rank_asc,0.05,0.9411764705882352,0.3088235294117647,318.6764705882353,5.0,5.138470818014706,0.0436580882352941,68
qwen-2.5-14b-instruct,diag,diag_rank_asc,0.1,0.9852941176470588,0.2941176470588235,309.30882352941177,5.0,5.100729549632353,0.0542279411764705,68
qwen-2.5-14b-instruct,diag,diag_rank_asc,0.2,0.9558823529411764,0.2941176470588235,320.44117647058823,4.5,5.12451171875,0.1553308823529411,68
qwen-2.5-14b-instruct,diag,diag_rank_asc,0.3,0.9264705882352942,0.2941176470588235,288.4852941176471,5.0,5.075654871323529,0.2320772058823529,68
qwen-2.5-14b-instruct,diag,diag_rank_asc,0.5,0.8088235294117647,0.2794117647058823,257.8529411764706,4.5,4.975126378676471,0.5009191176470589,68
qwen-2.5-14b-instruct,hihp,hihp_imp_asc,0.05,0.8823529411764706,0.2794117647058823,282.25,5.0,4.896139705882353,0.3681066176470588,68
qwen-2.5-14b-instruct,hihp,hihp_imp_asc,0.1,0.8235294117647058,0.2794117647058823,203.85294117647055,4.0,4.7412109375,0.6121323529411765,68
qwen-2.5-14b-instruct,hihp,hihp_imp_asc,0.2,0.75,0.2941176470588235,257.02941176470586,4.5,4.700137867647059,0.9682904411764706,68
qwen-2.5-14b-instruct,hihp,hihp_imp_asc,0.3,0.5882352941176471,0.2647058823529412,258.1617647058824,5.0,3.8816636029411766,1.9744944852941175,68
qwen-2.5-14b-instruct,hihp,hihp_imp_asc,0.5,0.3382352941176471,0.088235294117647,1789.720588235294,156.0,-0.3184742647058823,5.407628676470588,68
qwen-2.5-14b-instruct,hihp,hihp_imp_desc,0.05,0.5441176470588235,0.1323529411764706,444.0735294117647,26.0,1.1082261029411764,2.9064797794117645,68
qwen-2.5-14b-instruct,hihp,hihp_imp_desc,0.1,0.4705882352941176,0.1323529411764706,589.0588235294117,33.5,0.6475183823529411,3.4545036764705883,68
qwen-2.5-14b-instruct,hihp,hihp_imp_desc,0.2,0.3970588235294117,0.1176470588235294,635.6176470588235,44.0,0.1654411764705882,4.069623161764706,68
qwen-2.5-14b-instruct,hihp,hihp_imp_desc,0.3,0.3382352941176471,0.1029411764705882,1351.0588235294117,106.5,-0.0853630514705882,5.002642463235294,68
qwen-2.5-14b-instruct,hihp,hihp_imp_desc,0.5,0.3382352941176471,0.088235294117647,1789.720588235294,156.0,-0.3184742647058823,5.407628676470588,68
qwen-2.5-14b-instruct,hilp,hilp_imp_asc,0.05,0.9558823529411764,0.3088235294117647,375.11764705882354,4.5,5.100040211397059,0.1902573529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_asc,0.1,0.9117647058823528,0.3235294117647059,389.6911764705882,5.0,5.211454503676471,0.3446691176470588,68
qwen-2.5-14b-instruct,hilp,hilp_imp_asc,0.2,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_asc,0.3,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_asc,0.5,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_desc,0.05,0.6617647058823529,0.2352941176470588,390.88235294117646,9.0,4.822782628676471,1.3701746323529411,68
qwen-2.5-14b-instruct,hilp,hilp_imp_desc,0.1,0.6470588235294118,0.2352941176470588,363.9705882352941,8.0,4.876407398897059,1.458639705882353,68
qwen-2.5-14b-instruct,hilp,hilp_imp_desc,0.2,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_desc,0.3,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
qwen-2.5-14b-instruct,hilp,hilp_imp_desc,0.5,0.6176470588235294,0.2352941176470588,335.5147058823529,8.0,4.900160845588236,1.5496323529411764,68
olmo-2-13b-instruct,C,C_imp_asc,0.05,1.0,0.2941176470588235,76.45588235294117,4.0,5.827651079963236,0.0979327033547794,68
olmo-2-13b-instruct,C,C_imp_asc,0.1,0.9264705882352942,0.2794117647058823,79.22058823529412,4.0,5.792006548713236,0.2027480181525735,68
olmo-2-13b-instruct,C,C_imp_asc,0.2,0.8823529411764706,0.2647058823529412,87.79411764705883,4.5,5.769890280330882,0.2306590360753676,68
olmo-2-13b-instruct,C,C_imp_asc,0.3,0.8823529411764706,0.2647058823529412,87.79411764705883,4.5,5.769890280330882,0.2306590360753676,68
olmo-2-13b-instruct,C,C_imp_asc,0.5,0.8823529411764706,0.2647058823529412,87.79411764705883,4.5,5.769890280330882,0.2306590360753676,68
olmo-2-13b-instruct,D,D_imp_asc,0.05,0.9852941176470588,0.2941176470588235,72.79411764705883,4.0,5.844570384306066,0.0472537769990808,68
olmo-2-13b-instruct,D,D_imp_asc,0.1,0.9705882352941176,0.2941176470588235,73.30882352941177,4.0,5.823894725126379,0.0860766242532169,68
olmo-2-13b-instruct,D,D_imp_asc,0.2,0.9558823529411764,0.2941176470588235,79.32352941176471,4.0,5.822936114142923,0.1434909596162683,68
olmo-2-13b-instruct,D,D_imp_asc,0.3,0.9411764705882352,0.3088235294117647,71.63235294117646,4.0,5.959120806525736,0.1822868795955882,68
olmo-2-13b-instruct,D,D_imp_asc,0.5,0.9411764705882352,0.3088235294117647,74.36764705882354,4.0,5.999477610868566,0.2416184369255514,68
olmo-2-13b-instruct,diag,diag_rank_asc,0.05,0.9852941176470588,0.2941176470588235,72.67647058823529,4.0,5.840956744025736,0.0456148035386029,68
olmo-2-13b-instruct,diag,diag_rank_asc,0.1,0.9558823529411764,0.2941176470588235,72.1470588235294,4.0,5.847448012408088,0.0773602653952205,68
olmo-2-13b-instruct,diag,diag_rank_asc,0.2,0.9558823529411764,0.2941176470588235,75.54411764705883,4.0,5.824677411247702,0.1486609963809742,68
olmo-2-13b-instruct,diag,diag_rank_asc,0.3,0.9558823529411764,0.2941176470588235,73.11764705882354,4.0,5.88641357421875,0.1928890452665441,68
olmo-2-13b-instruct,diag,diag_rank_asc,0.5,0.8529411764705882,0.2647058823529412,94.0,5.0,5.893368889303768,0.3349546544692096,68
olmo-2-13b-instruct,hihp,hihp_imp_asc,0.05,0.9705882352941176,0.2941176470588235,68.6029411764706,4.0,5.721561207490809,0.208740234375,68
olmo-2-13b-instruct,hihp,hihp_imp_asc,0.1,0.8970588235294118,0.2647058823529412,67.33823529411765,4.5,5.705724379595588,0.3675932042738971,68
olmo-2-13b-instruct,hihp,hihp_imp_asc,0.2,0.75,0.2647058823529412,79.61764705882354,5.0,5.567033543306239,0.7709232779110179,68
olmo-2-13b-instruct,hihp,hihp_imp_asc,0.3,0.6029411764705882,0.25,174.0,4.0,4.964496388154871,1.469804651596967,68
olmo-2-13b-instruct,hihp,hihp_imp_asc,0.5,0.2352941176470588,0.0441176470588235,2742.044117647059,488.5,-1.0785899442784928,6.283759622012868,68
olmo-2-13b-instruct,hihp,hihp_imp_desc,0.05,0.4705882352941176,0.1323529411764706,850.4705882352941,48.0,0.4312672334558823,3.6135720645680154,68
olmo-2-13b-instruct,hihp,hihp_imp_desc,0.1,0.3529411764705882,0.088235294117647,1394.8088235294117,190.0,-0.5797024895163143,4.667555416331572,68
olmo-2-13b-instruct,hihp,hihp_imp_desc,0.2,0.2794117647058823,0.0588235294117647,2192.926470588235,331.5,-1.0087172564338236,5.6197043026194855,68
olmo-2-13b-instruct,hihp,hihp_imp_desc,0.3,0.2352941176470588,0.0441176470588235,2469.308823529412,458.5,-1.0797083237591911,6.036832921645221,68
